gender,location,account_type,age,login_frequency,total_spent,customer_service_interaction_count,registration_date_year,registration_date_month,registration_date_day,churn
female,charlesville,savings,0.4431494248121575,-0.01380069383179158,-0.20869199035518357,-5.199337582605575,-0.6226211131134609,0.4224827724521058,-0.22134370153416602,0
male,new scott,savings,-0.17655256044863027,1.061884134877072,-0.471803118508565,-0.24454751539312974,-0.6226211131134609,0.214919822566405,0.5583922312531168,0
female,josephfort,savings,1.6590927841580632,0.0690561248072033,0.4308374607579796,-1.1047469132423215,0.33087257172641926,1.184446818906046,1.1497417570435928,0
male,linland,savings,-0.6533766109715351,-0.6471768109382816,-1.633998116889721,-1.1047469132423215,-0.12958231367213702,-0.005018295886876338,0.6580429849889554,0
male,north lindamouth,checking,-1.679302556120626,-0.9979196589738004,1.6412549477866807,0.7380888474045281,0.33087257172641926,5.19933758270342,-1.352622764219689,0
female,darrellshire,checking,-0.3816746537655627,0.4142668635342554,-1.4530604730735655,-0.012546016181542559,-5.199337582605575,-1.0978447837084992,0.033879835403491765,1
male,thompsonchester,savings,-0.7680753131709815,0.8126540791496972,2.05509182420192,0.7380888474045281,5.19933758270342,-0.4808394206668124,-0.13337869485727427,0
female,lake melody,checking,-0.7680753131709815,0.0690561248072033,-0.3100431808372437,-5.199337582605575,0.8735150946146939,0.214919822566405,-0.22134370153416602,0
female,michaelshire,savings,-5.199337582605575,0.4142668635342554,0.21915728371860832,-0.48930663465583857,-0.6226211131134609,0.87719564638236,0.287442172763095,1
female,jonathanfort,loan,-0.6533766109715351,-0.09801306125907777,-0.4245720972410493,-0.48930663465583857,-0.6226211131134609,1.184446818906046,-0.48648036042064524,0
female,new timothy,checking,1.072972882447743,0.5092020438642008,0.45616445344330797,-1.1047469132423215,-0.12958231367213702,5.19933758270342,-0.39384741763566583,0
female,ryanberg,checking,1.261282157758418,-0.6471768109382816,0.7369016158185404,0.4626104126272192,-0.6226211131134609,5.19933758270342,-0.8995338605921868,0
male,new dennischester,loan,0.7249732056113145,-0.5481577591460677,0.90123251749777,-0.24454751539312974,5.19933758270342,-0.23679888988190287,-0.580523622286316,0
female,cameronburgh,savings,0.06402672253786497,-0.27048547902722114,0.4298787986771235,-0.012546016181542559,0.8735150946146939,-0.005018295886876338,0.7596773891978573,0
female,east thomas,loan,0.6642872083307605,0.8126540791496972,1.6679592880228704,0.214919822566405,-0.6226211131134609,0.87719564638236,1.5584816308643838,1
female,port briannabury,savings,1.8877534354042722,-5.199337582605575,0.4555546329598662,0.4626104126272192,-5.199337582605575,-0.7546642694731029,-1.6067550689692431,1
male,west melissa,loan,0.9917462545024419,-0.5481577591460677,-0.3190906648520075,0.7380888474045281,-0.6226211131134609,0.87719564638236,-0.13337869485727427,1
female,new jennifer,loan,-0.8355583582575467,-0.9979196589738004,0.34522089055503974,5.19933758270342,-0.6226211131134609,0.634851110209644,0.7596773891978573,0
female,lake lori,checking,-1.2585076890467706,0.2342191939146195,-1.481695808579261,1.0864560455350232,-0.6226211131134609,0.87719564638236,-0.39384741763566583,0
